Isolate	YearMonth	year	month
AUSMDU00017551	2018_06	2018	06
AUSMDU00007385	2017_02	2017	02
AUSMDU00015191	2018_04	2018	04
AUSMDU00010054	2017_10	2017	10
AUSMDU00013592	2018_03	2018	03
AUSMDU00021836	2018_10	2018	10
AUSMDU00022627	2018_11	2018	11
AUSMDU00037520	2019_10	2019	10
AUSMDU00007203	2017_03	2017	03
AUSMDU00028929	2019_04	2019	04
AUSMDU00030372	2019_06	2019	06
AUSMDU00010022	2017_01	2017	01
AUSMDU00017671	2018_07	2018	07
AUSMDU00026011	2019_02	2019	02
AUSMDU00009992	2016_08	2016	08
AUSMDU00007315	2017_04	2017	04
AUSMDU00040169	2019_12	2019	12
AUSMDU00040297	2020_01	2020	01
AUSMDU00009995	2016_08	2016	08
AUSMDU00008355	2016_03	2016	03
AUSMDU00009987	2016_03	2016	03
AUSMDU00025701	2019_02	2019	02
AUSMDU00009366	2016_09	2016	09
AUSMDU00018684	2018_08	2018	08
AUSMDU00011680	2017_12	2017	12
AUSMDU00040314	2020_01	2020	01
AUSMDU00046522	2020_05	2020	05
AUSMDU00048560	2020_08	2020	08
AUSMDU00010008	2016_12	2016	12
AUSMDU00019740	2018_09	2018	09
AUSMDU00008180	2016_08	2016	08
AUSMDU00027246	2019_03	2019	03
AUSMDU00010079	2017_01	2017	01
AUSMDU00011682	2017_12	2017	12
AUSMDU00040172	2020_01	2020	01
AUSMDU00009139	2016_03	2016	03
AUSMDU00021847	2018_10	2018	10
AUSMDU00017836	2018_07	2018	07
AUSMDU00036859	2019_10	2019	10
AUSMDU00008329	2016_01	2016	01
AUSMDU00008330	2016_01	2016	01
AUSMDU00008331	2016_01	2016	01
AUSMDU00008332	2016_01	2016	01
AUSMDU00008336	2016_01	2016	01
AUSMDU00008337	2016_01	2016	01
AUSMDU00008340	2016_01	2016	01
AUSMDU00008169	2016_01	2016	01
AUSMDU00008347	2016_01	2016	01
AUSMDU00008356	2016_02	2016	02
AUSMDU00008357	2016_02	2016	02
AUSMDU00008360	2016_03	2016	03
AUSMDU00008363	2016_03	2016	03
AUSMDU00008368	2016_04	2016	04
AUSMDU00009456	2016_04	2016	04
AUSMDU00009464	2016_04	2016	04
AUSMDU00009466	2016_04	2016	04
AUSMDU00009472	2016_04	2016	04
AUSMDU00009477	2016_05	2016	05
AUSMDU00009480	2016_05	2016	05
AUSMDU00009483	2016_05	2016	05
AUSMDU00009484	2016_05	2016	05
AUSMDU00009492	2016_05	2016	05
AUSMDU00009528	2016_06	2016	06
AUSMDU00009105	2016_06	2016	06
AUSMDU00009145	2016_06	2016	06
AUSMDU00009152	2016_07	2016	07
AUSMDU00009157	2016_07	2016	07
AUSMDU00009160	2016_07	2016	07
AUSMDU00009167	2016_07	2016	07
AUSMDU00009172	2016_07	2016	07
AUSMDU00009174	2016_07	2016	07
AUSMDU00009175	2016_07	2016	07
AUSMDU00009178	2016_08	2016	08
AUSMDU00008174	2016_08	2016	08
AUSMDU00008175	2016_08	2016	08
AUSMDU00009994	2016_08	2016	08
AUSMDU00008176	2016_08	2016	08
AUSMDU00008182	2016_08	2016	08
AUSMDU00008188	2016_08	2016	08
AUSMDU00009362	2016_09	2016	09
AUSMDU00009364	2016_09	2016	09
AUSMDU00010000	2016_09	2016	09
AUSMDU00009367	2016_09	2016	09
AUSMDU00010001	2016_09	2016	09
AUSMDU00009380	2016_10	2016	10
AUSMDU00009384	2016_10	2016	10
AUSMDU00009385	2016_10	2016	10
AUSMDU00009391	2016_10	2016	10
AUSMDU00009394	2016_11	2016	11
AUSMDU00009395	2016_11	2016	11
AUSMDU00009397	2016_11	2016	11
AUSMDU00009400	2016_11	2016	11
AUSMDU00009402	2016_11	2016	11
AUSMDU00010005	2016_11	2016	11
AUSMDU00009411	2016_12	2016	12
AUSMDU00009412	2016_12	2016	12
AUSMDU00009416	2016_12	2016	12
AUSMDU00009417	2016_12	2016	12
AUSMDU00010011	2016_12	2016	12
AUSMDU00010013	2017_01	2017	01
AUSMDU00010014	2017_01	2017	01
AUSMDU00010016	2017_01	2017	01
AUSMDU00010017	2017_01	2017	01
AUSMDU00010021	2017_01	2017	01
AUSMDU00010025	2017_01	2017	01
AUSMDU00010030	2017_01	2017	01
AUSMDU00009590	2017_01	2017	01
AUSMDU00010031	2017_01	2017	01
AUSMDU00010078	2017_01	2017	01
AUSMDU00009591	2017_01	2017	01
AUSMDU00010080	2017_01	2017	01
AUSMDU00009593	2017_01	2017	01
AUSMDU00010081	2017_02	2017	02
AUSMDU00010082	2017_02	2017	02
AUSMDU00010085	2017_02	2017	02
AUSMDU00010088	2017_02	2017	02
AUSMDU00010090	2017_02	2017	02
AUSMDU00010091	2017_02	2017	02
AUSMDU00010092	2017_02	2017	02
AUSMDU00010093	2019_09	2019	09
AUSMDU00006688	2017_03	2017	03
AUSMDU00006659	2017_03	2017	03
AUSMDU00010096	2017_03	2017	03
AUSMDU00006667	2017_03	2017	03
AUSMDU00009184	2017_03	2017	03
AUSMDU00007386	2017_03	2017	03
AUSMDU00007388	2017_03	2017	03
AUSMDU00007387	2017_03	2017	03
AUSMDU00007389	2017_03	2017	03
AUSMDU00007204	2017_03	2017	03
AUSMDU00007206	2017_03	2017	03
AUSMDU00007207	2017_03	2017	03
AUSMDU00007269	2017_04	2017	04
AUSMDU00007272	2017_04	2017	04
AUSMDU00007275	2017_04	2017	04
AUSMDU00010099	2017_04	2017	04
AUSMDU00007313	2017_04	2017	04
AUSMDU00007316	2017_04	2017	04
AUSMDU00007319	2017_04	2017	04
AUSMDU00007510	2017_05	2017	05
AUSMDU00009188	2017_05	2017	05
AUSMDU00007986	2017_05	2017	05
AUSMDU00007981	2017_05	2017	05
AUSMDU00007988	2017_05	2017	05
AUSMDU00007993	2017_05	2017	05
AUSMDU00016814	2017_05	2017	05
AUSMDU00008450	2017_06	2017	06
AUSMDU00008601	2017_06	2017	06
AUSMDU00008650	2017_06	2017	06
AUSMDU00008736	2017_07	2017	07
AUSMDU00008929	2017_07	2017	07
AUSMDU00008930	2017_07	2017	07
AUSMDU00008933	2017_07	2017	07
AUSMDU00008934	2017_07	2017	07
AUSMDU00008963	2017_07	2017	07
AUSMDU00009001	2017_07	2017	07
AUSMDU00009003	2017_07	2017	07
AUSMDU00009131	2017_08	2017	08
AUSMDU00018983	2017_08	2017	08
AUSMDU00018986	2017_08	2017	08
AUSMDU00009203	2017_08	2017	08
AUSMDU00009441	2017_08	2017	08
AUSMDU00009442	2017_08	2017	08
AUSMDU00009500	2017_08	2017	08
AUSMDU00009501	2017_08	2017	08
AUSMDU00009578	2017_09	2017	09
AUSMDU00009581	2017_09	2017	09
AUSMDU00009724	2017_09	2017	09
AUSMDU00009727	2017_09	2017	09
AUSMDU00009744	2017_09	2017	09
AUSMDU00009746	2017_09	2017	09
AUSMDU00010070	2017_10	2017	10
AUSMDU00010101	2017_10	2017	10
AUSMDU00010122	2017_10	2017	10
AUSMDU00010128	2017_10	2017	10
AUSMDU00010207	2017_10	2017	10
AUSMDU00010458	2017_11	2017	11
AUSMDU00010584	2017_11	2017	11
AUSMDU00010698	2017_11	2017	11
AUSMDU00010716	2017_11	2017	11
AUSMDU00010907	2017_11	2017	11
AUSMDU00010911	2017_11	2017	11
AUSMDU00010916	2017_11	2017	11
AUSMDU00011146	2017_12	2017	12
AUSMDU00011147	2017_12	2017	12
AUSMDU00011148	2017_12	2017	12
AUSMDU00011294	2017_12	2017	12
AUSMDU00011296	2017_12	2017	12
AUSMDU00011300	2017_12	2017	12
AUSMDU00011322	2017_12	2017	12
AUSMDU00011679	2017_12	2017	12
AUSMDU00011857	2018_01	2018	01
AUSMDU00011861	2018_01	2018	01
AUSMDU00012506	2018_01	2018	01
AUSMDU00012913	2018_02	2018	02
AUSMDU00013122	2018_02	2018	02
AUSMDU00013455	2018_02	2018	02
AUSMDU00013969	2018_03	2018	03
AUSMDU00014579	2018_03	2018	03
AUSMDU00014580	2018_03	2018	03
AUSMDU00014851	2018_04	2018	04
AUSMDU00015190	2018_04	2018	04
AUSMDU00015438	2018_04	2018	04
AUSMDU00015463	2018_04	2018	04
AUSMDU00015742	2018_05	2018	05
AUSMDU00015744	2018_05	2018	05
AUSMDU00015775	2018_05	2018	05
AUSMDU00016256	2018_05	2018	05
AUSMDU00016879	2018_06	2018	06
AUSMDU00016936	2018_06	2018	06
AUSMDU00017219	2018_06	2018	06
AUSMDU00017221	2018_06	2018	06
AUSMDU00017552	2018_06	2018	06
AUSMDU00017553	2018_06	2018	06
AUSMDU00017586	2018_06	2018	06
AUSMDU00017648	2018_06	2018	06
AUSMDU00017760	2018_07	2018	07
AUSMDU00017941	2018_07	2018	07
AUSMDU00017943	2018_07	2018	07
AUSMDU00018226	2018_07	2018	07
AUSMDU00018589	2018_07	2018	07
AUSMDU00018682	2018_07	2018	07
AUSMDU00019374	2018_08	2018	08
AUSMDU00019404	2018_08	2018	08
AUSMDU00019509	2018_08	2018	08
AUSMDU00019754	2018_09	2018	09
AUSMDU00019871	2018_09	2018	09
AUSMDU00020032	2018_09	2018	09
AUSMDU00021016	2018_10	2018	10
AUSMDU00021354	2018_10	2018	10
AUSMDU00021564	2018_10	2018	10
AUSMDU00021835	2018_10	2018	10
AUSMDU00021943	2019_09	2019	09
AUSMDU00022000	2018_10	2018	10
AUSMDU00022004	2018_11	2018	11
AUSMDU00022094	2018_11	2018	11
AUSMDU00022359	2018_11	2018	11
AUSMDU00022799	2018_11	2018	11
AUSMDU00023132	2018_11	2018	11
AUSMDU00023173	2018_11	2018	11
AUSMDU00023174	2018_11	2018	11
AUSMDU00023509	2018_12	2018	12
AUSMDU00023727	2018_12	2018	12
AUSMDU00023728	2018_11	2018	11
AUSMDU00023729	2018_12	2018	12
AUSMDU00023730	2018_12	2018	12
AUSMDU00024327	2018_12	2018	12
AUSMDU00024495	2019_01	2019	01
AUSMDU00024496	2019_01	2019	01
AUSMDU00025481	2019_01	2019	01
AUSMDU00024877	2019_01	2019	01
AUSMDU00025309	2019_01	2019	01
AUSMDU00025606	2019_02	2019	02
AUSMDU00025837	2019_02	2019	02
AUSMDU00025846	2019_02	2019	02
AUSMDU00029061	2019_02	2019	02
AUSMDU00026359	2019_02	2019	02
AUSMDU00026703	2019_03	2019	03
AUSMDU00026704	2019_03	2019	03
AUSMDU00027399	2019_03	2019	03
AUSMDU00028542	2019_04	2019	04
AUSMDU00028884	2019_04	2019	04
AUSMDU00028914	2019_04	2019	04
AUSMDU00029349	2019_05	2019	05
AUSMDU00029558	2019_05	2019	05
AUSMDU00029582	2019_05	2019	05
AUSMDU00029719	2019_05	2019	05
AUSMDU00030312	2019_05	2019	05
AUSMDU00030765	2019_06	2019	06
AUSMDU00030922	2019_06	2019	06
AUSMDU00030928	2019_06	2019	06
AUSMDU00031012	2019_06	2019	06
AUSMDU00031692	2019_07	2019	07
AUSMDU00032129	2019_07	2019	07
AUSMDU00032355	2019_07	2019	07
AUSMDU00032528	2019_07	2019	07
AUSMDU00032781	2019_07	2019	07
AUSMDU00033772	2019_08	2019	08
AUSMDU00033773	2019_08	2019	08
AUSMDU00033821	2019_08	2019	08
AUSMDU00033920	2019_08	2019	08
AUSMDU00034263	2019_08	2019	08
AUSMDU00034912	2019_08	2019	08
AUSMDU00034915	2019_08	2019	08
AUSMDU00034927	2019_08	2019	08
AUSMDU00035051	2019_08	2019	08
AUSMDU00035243	2019_09	2019	09
AUSMDU00035543	2019_09	2019	09
AUSMDU00035701	2019_09	2019	09
AUSMDU00036042	2019_09	2019	09
AUSMDU00036860	2019_10	2019	10
AUSMDU00037057	2019_10	2019	10
AUSMDU00037078	2019_10	2019	10
AUSMDU00037208	2019_10	2019	10
AUSMDU00037800	2019_10	2019	10
AUSMDU00037928	2019_11	2019	11
AUSMDU00038271	2019_11	2019	11
AUSMDU00038514	2019_11	2019	11
AUSMDU00038686	2019_11	2019	11
AUSMDU00038901	2019_11	2019	11
AUSMDU00039405	2019_12	2019	12
AUSMDU00039318	2019_12	2019	12
AUSMDU00039756	2019_12	2019	12
AUSMDU00039771	2019_12	2019	12
AUSMDU00040432	2020_01	2020	01
AUSMDU00040529	2020_01	2020	01
AUSMDU00041403	2020_01	2020	01
AUSMDU00041707	2020_02	2020	02
AUSMDU00042027	2020_02	2020	02
AUSMDU00042028	2020_02	2020	02
AUSMDU00042029	2020_02	2020	02
AUSMDU00042034	2020_02	2020	02
AUSMDU00042175	2020_02	2020	02
AUSMDU00042567	2020_02	2020	02
AUSMDU00043709	2020_02	2020	02
AUSMDU00052954	2020_10	2020	10
AUSMDU00045309	2020_04	2020	04
AUSMDU00046587	2020_05	2020	05
AUSMDU00047163	2020_06	2020	06
AUSMDU00047083	2020_06	2020	06
AUSMDU00047844	2020_07	2020	07
AUSMDU00048294	2020_07	2020	07
AUSMDU00048456	2020_07	2020	07
